,Net likelihoods
R_1,40.2759602218
R_2,2101.53229616
R_3,-2.11429215826
R_4,2.2331135923
R_5,1113.30064735
R_6,-48.3335810447
R_7,1462.13710386
R_8,21.2490428167
R_9,-0.851737783172
