,fullS*backward_rate
A,-1.00000176441
B,-2.00001782771
C,1.00000763985
D,2.00000464049
E,8.16555452143e-08
F,-4.66511269188e-05
A_ext,-1.00000136296
D_ext,1.00000001935
E_ext,-1.00000057855
F_ext,1.00005580341
