,Concentrations
A,2.47096050124e-05
B,2.64179288645e-08
C,0.00013923995819
D,2.12961788686e-07
E,8.95372365255e-07
F,6.11388533399e-09
A_ext,0.00100001580449
D_ext,1.00000831637e-08
E_ext,0.000999998559792
F_ext,9.99996076947e-09
