,fullS*net_likelihood
A,-2059.14204378
B,2195.96634465
C,-1512.58497706
D,1445.35428823
E,1111.06753376
F,-47.4818432615
A_ext,-40.2759602218
D_ext,21.2490428167
E_ext,-1113.30064735
F_ext,-0.851737783172
