,Backward likelihoods
R_1,1.36295532987e-06
R_2,9.73760518657e-07
R_3,2.15360945871e-06
R_4,4.96895573319e-07
R_5,5.78551118676e-07
R_6,9.1522861458e-06
R_7,3.6660455788e-06
R_8,1.93512071323e-08
R_9,5.58034130647e-05
