,Normalized absolute activities
A,9.12884740516e-05
B,5.33248766621e-13
C,0.000897987785406
D,1.27430686551e-11
E,3.31125724013e-09
F,4.75330155979e-18
A_ext,0.87993020722
D_ext,6.49353657199e-15
E_ext,0.119080513196
F_ext,1.60953795559e-17
