,Absolute activities
A,3.79416459853e-12
B,2.21630782368e-20
C,3.73224933453e-11
D,5.29632031535e-19
E,1.37623671856e-16
F,1.97558439788e-25
A_ext,3.65719777452e-08
D_ext,2.69886717208e-22
E_ext,4.94926738821e-09
F_ext,6.68961990497e-25
