,logK - logQ
R_1,5.07368247648
R_2,5.63207341299
R_3,2.97762520143
R_4,4.93530812728
R_5,4.84296237792
R_6,0.574428129842
R_7,3.31037662835
R_8,5.49979632337
R_9,0.406690868473
