,Forward Log likelihoods
R_1,5.06752646332
R_2,4.65929858541
R_3,3.97565941323
R_4,4.65106444808
R_5,4.65157180119
R_6,0.246443286381
R_7,3.98552883216
R_8,5.57297646946
R_9,0.259606873181
