,log Q_r
R_1,-5.07368247648
R_2,-4.82528222863
R_3,-2.17083401707
R_4,-3.32172575856
R_5,-4.84296237792
R_6,2.6527366076
R_7,-2.50358544399
R_8,-5.49979632337
R_9,-0.406690868473
