,Backward Entropy Production
R_1,8.76850035621e-05
R_2,0.000127332689961
R_3,0.000237131523462
R_4,0.000128292782107
R_5,0.000128233418455
R_6,0.0064398342734
R_7,0.000235018878463
R_8,5.51582398326e-05
R_9,0.00636758791436
