,Log Concentrations
A,-10.1306305868
B,-14.9559128154
C,-12.3014646039
D,-14.8050500479
E,-11.3324615217
F,-14.9576244194
A_ext,-5.05694811031
D_ext,-20.3048463712
E_ext,-6.48949914381
F_ext,-15.3643152878
