,Entropy
A,4.32245298754e-05
B,7.87917205394e-11
C,4.27092119734e-08
D,1.64487060672e-11
E,4.15018146099e-07
F,3.42566973254e-14
A_ext,0.0038636024913
D_ext,2.92752785437e-17
E_ext,0.0214851846596
F_ext,1.28645811394e-14
