,Absolute activities
A,1.2399197101e-11
B,1.07132257806e-17
C,7.72131415481e-15
D,2.10741320007e-18
E,8.52937145025e-14
F,3.57867034789e-21
A_ext,3.59504942949e-06
D_ext,2.52746707649e-24
E_ext,1.39584040605e-08
F_ext,1.30580861163e-21
