,Normalized absolute activities
A,3.43561298684e-06
B,2.96845814475e-12
C,2.13944878605e-09
D,5.83929435092e-13
E,2.36334813338e-08
F,9.91590521761e-16
A_ext,0.996128895095
D_ext,7.00319435288e-19
E_ext,0.00386764351556
F_ext,3.61818026433e-16
