,Concentrations
A,3.98403401738e-05
B,3.19690398104e-07
C,4.54508284008e-06
D,3.71747845252e-07
E,1.19777293289e-05
F,3.19143682769e-07
A_ext,0.00636495504202
D_ext,1.51955794321e-09
E_ext,0.00151930977324
F_ext,2.12501819166e-07
