,Net flux
R_1,158.774792371
R_2,105.552540342
R_3,53.2664753947
R_4,104.686818706
R_5,104.739955056
R_6,0.497890931712
R_7,53.7951577763
R_8,263.212590821
R_9,0.525065562421
