,Chemical potential
A,-25.1133893953
B,-39.0750526414
C,-32.4947918181
D,-40.7010704501
E,-30.0926756301
F,-47.0792956327
A_ext,-12.5359528174
D_ext,-54.3348245861
E_ext,-18.0871840685
F_ext,-48.0874644782
