,Log Concentrations
A,-11.2093476688
B,-15.2972198938
C,-11.985923932
D,-13.8796852598
E,-10.0863927008
F,-16.6764407525
A_ext,-6.90775527898
D_ext,-18.420680744
E_ext,-6.90775527898
F_ext,-18.420680744
