,Entropy of Concentrations
A,0.0330066136762
B,0.00100405373042
C,0.0175283604799
D,0.00349914549254
E,0.0787888942644
F,0.00029105301494
A_ext,0.35100152511
D_ext,5.93258503285e-05
E_ext,0.35100152511
F_ext,5.93258503285e-05
