,Log Concentrations
A,-11.1543064365
B,-14.5263926445
C,-11.9123043538
D,-13.7489449109
E,-10.7464174125
F,-16.1669984709
A_ext,-6.90775527898
D_ext,-18.420680744
E_ext,-6.90775527898
F_ext,-18.420680744
