	Forward likelihoods	Backward likelihoods	Delta G	log Q_r	log K_eq	Delta G0	logK - logQ	logQ - logK	Forward Log likelihoods	Backward Log likelihoods	Forward probabilities	Backward probabilities	Net probabilities	Net likelihoods	Forward rate	Backward rate	Thermodynamic driving force	Net flux	Forward Entropy Production	Backward Entropy Production	Reaction Entropy Production	Net Reaction Entropy Production	Microscopic Reaction Entropy Production Rate	Microscopic Reaction Entropy Production Net Flux	Microscopic Reaction Entropy Production Net Flux Difference	Total Entropy Production	Total Microscopic Entropy Production Rate	Macroscopic Reaction Entropy Production Net Flux	Macroscopic Reaction Entropy Production Net Flux Difference	Total Macroscopic Entropy Production Net Flux	Total Macroscopic Entropy Production Net Flux Difference
R_1	69.8640462773	0.0143135139358	-10.5270142754	-4.2465511575	-0.0	0.0	4.2465511575	-4.2465511575	4.2465511575	-4.2465511575	0.187088882064	3.83301492449e-05	0.187050551915	69.8497327634	70.8640462773	1.01431351394	10.5270142754	69.8497327634	0.31359304645	0.000389789781887	0.313982836232	0.313203256668	22.2228675249	21.9316172031	21.8771637789	1.87420303507	108.125586593	33.5565252563	33.4732086597	200.303119229	197.606063348
R_2	65.2925141847	0.0153156914309	-10.3592539765	-3.37208620806	0.806791184361	-2.0	4.17887739242	-4.17887739242	4.17887739242	-4.17887739242	0.174846779379	4.10138796782e-05	0.174805765499	65.2771984932	66.2925141847	1.01531569143	10.3592539765	65.2771984932	0.304905723072	0.00041430580777	0.305320028879	0.304491417264	20.2133876229	19.9304361291	19.8763466842	1.87420303507	108.125586593	32.6306984907	32.5421416545	200.303119229	197.606063348
R_3	4.78166638428	0.209132114128	-3.87904362874	-0.757997917348	0.806791184361	-2.0	1.56478910171	-1.56478910171	1.56478910171	-1.56478910171	0.0128048211621	0.000560034746352	0.0122447864157	4.57253427015	5.78166638428	1.20913211413	3.87904362874	4.57253427015	0.0558025594326	0.00419326673201	0.0599958261646	0.0516092927006	0.327701995497	0.274332971204	0.235985259532	1.87420303507	108.125586593	6.41197933022	5.515678993	200.303119229	197.606063348
R_4	46.4632711838	0.0215223761591	-9.51587525466	-2.22507976475	1.61358236872	-4.0	3.83866213347	-3.83866213347	3.83866213347	-3.83866213347	0.124423962339	5.76347564954e-05	0.124366327582	46.4417488076	47.4632711838	1.02152237616	9.51587525466	46.4417488076	0.259307064408	0.000562595033751	0.259869659441	0.258744469374	12.3081362213	12.0688014465	12.016545652	1.87420303507	108.125586593	27.7732467642	27.6529934746	200.303119229	197.606063348
R_5	46.4632711838	0.0215223761591	-9.51587525466	-3.83866213347	-0.0	0.0	3.83866213347	-3.83866213347	3.83866213347	-3.83866213347	0.124423962339	5.76347564954e-05	0.124366327582	46.4417488076	47.4632711838	1.02152237616	9.51587525466	46.4417488076	0.259307064408	0.000562595033751	0.259869659441	0.258744469374	12.3081362213	12.0688014465	12.016545652	1.87420303507	108.125586593	27.7732467642	27.6529934746	200.303119229	197.606063348
R_6	9.52273667233	0.10501182952	-5.58677961971	0.973482464369	3.22716473744	-8.0	2.25368227307	-2.25368227307	2.25368227307	-2.25368227307	0.0255009300656	0.000281211106933	0.0252197189587	9.41772484281	10.5227366723	1.10501182952	5.58677961971	9.41772484281	0.0935639414835	0.00229929587279	0.0958632373563	0.0912646456107	0.987089467395	0.902813591963	0.859505320238	1.87420303507	108.125586593	10.2452643084	9.75379553288	200.303119229	197.606063348
R_7	14.0613759088	0.0711167958587	-6.55295147651	-1.83664055704	0.806791184361	-2.0	2.6434317414	-2.6434317414	2.6434317414	-2.6434317414	0.0376549489937	0.000190443619317	0.0374645053744	13.990259113	15.0613759088	1.07111679586	6.55295147651	13.990259113	0.123481531048	0.00163136944162	0.12511290049	0.121850161606	1.86154914412	1.75036189622	1.70471533383	1.87420303507	108.125586593	13.3712856905	13.0225845288	200.303119229	197.606063348
R_8	106.883112743	0.0093560149432	-11.5810284585	-4.67173583308	-0.0	0.0	4.67173583308	-4.67173583308	4.67173583308	-4.67173583308	0.286222215005	2.50544660605e-05	0.286197160539	106.873756728	107.883112743	1.00935601494	11.5810284585	106.873756728	0.358060211209	0.000265438499927	0.358325649709	0.357794772709	38.6289180567	38.2956083165	38.2388714971	1.87420303507	108.125586593	38.2956083165	38.2388714971	200.303119229	197.606063348
R_9	9.52273667233	0.10501182952	-5.58677961971	-2.25368227307	-0.0	0.0	2.25368227307	-2.25368227307	2.25368227307	-2.25368227307	0.0255009300656	0.000281211106933	0.0252197189587	9.41772484281	10.5227366723	1.10501182952	5.58677961971	9.41772484281	0.0935639414835	0.00229929587279	0.0958632373563	0.0912646456107	0.987089467395	0.902813591963	0.859505320238	1.87420303507	108.125586593	10.2452643084	9.75379553288	200.303119229	197.606063348
