,Entropy of Concentrations
A,0.133530742101
B,0.0339714207441
C,0.350209814669
D,0.228882458426
E,0.261763275629
F,3.05425799475e-05
A_ext,0.338953212248
D_ext,3.0259930607e-05
E_ext,0.339615526377
F_ext,3.09887073793e-05
