,Delta G
R_1,-4.2261182352
R_2,-6.52098739145
R_3,2.50784367291
R_4,2.02170049655
R_5,-1.51472164634
R_6,-18.7247844147
R_7,-4.39408559367
R_8,-26.4133352568
R_9,0.0389556576832
