,fullS*net_probabilities
A,-2.3966504285e-06
B,7.41389727388e-11
C,2.35847516017e-06
D,0.113535511746
E,1.11146305354e-09
F,-1.17786461834e-09
A_ext,-1.1329237895e-09
D_ext,-0.113535472554
E_ext,-1.11065812103e-09
F_ext,1.21875566583e-09
