,Forward rate
R_1,186563471.851
R_2,264894437.825
R_3,42456.7283193
R_4,2544593.56357
R_5,2536311.14427
R_6,1783248047.69
R_7,395999.872393
R_8,0.960618085325
R_9,41888352.0683
