,Log Concentrations
A,-8.61975805308
B,-10.4435044391
C,-6.80131378519
D,-7.76707736098
E,-7.51977772061
F,-18.412025853
A_ext,-6.91496058497
D_ext,-18.4221003783
E_ext,-6.90874568509
F_ext,-18.3963113124
