,Absolute activities
A,5.24800683154e-10
B,7.72619297214e-13
C,6.44372592951e-09
D,7.95810992947e-11
E,1.08552779288e-09
F,6.83476356489e-25
A_ext,3.59231342342e-08
D_ext,2.68933053737e-22
E_ext,4.93714861004e-09
F_ext,7.10627030203e-25
