,Forward Log likelihoods
R_1,1.0726733666e-08
R_2,1.46866851905e-09
R_3,2.27011910409e-05
R_4,-7.62123697487e-12
R_5,1.0515918081e-08
R_6,3.871640785e-10
R_7,3.71095785412e-07
R_8,-0.933407956668
R_9,1.15394058087e-08
