,log Q_r
R_1,-1.70479746811
R_2,-1.82374638602
R_3,1.81844426789
R_4,2.42912743774
R_5,-0.611032035515
R_6,-4.32633075998
R_7,-0.96576357579
R_8,-10.6550230174
R_9,0.0157145405999
