,fullS*forward_rate
A,-78373422.7019
B,-3304146251.11
C,1782894504.54
D,5485186.03891
E,-8282.41929369
F,1741359695.62
A_ext,-186563471.851
D_ext,0.960618085325
E_ext,-2536311.14427
F_ext,41888352.0683
