,Chemical potential
A,-21.3680025766
B,-27.888989968
C,-18.8601589036
D,-23.2542444973
E,-20.6411995232
F,-55.6426054471
A_ext,-17.1418843414
D_ext,-49.6675797541
E_ext,-19.1264778768
F_ext,-55.6036497894
