,Backward probabilities
R_1,0.0528084232655
R_2,0.0528084237544
R_3,0.0528072250314
R_4,0.0528084238324
R_5,0.0528084232766
R_6,0.0528084238115
R_7,0.052808404235
R_8,0.134300345608
R_9,0.0528084232226
