,Backward Log likelihoods
R_1,-1.0726733559e-08
R_2,-1.46866852121e-09
R_3,-2.2701191041e-05
R_4,7.62123697481e-12
R_5,-1.05159180805e-08
R_6,-3.87163967627e-10
R_7,-3.71095785456e-07
R_8,0.933407956668
R_9,-1.15394058308e-08
