,Entropy
A,0.000251506409516
B,1.57240109256e-08
C,7.0916283322e-06
D,1.46714506175e-08
E,0.000102244343986
F,1.42236731076e-13
A_ext,0.111823103893
D_ext,2.12330287313e-13
E_ext,0.253531617183
F_ext,6.22983127287e-16
