,logK - logQ
R_1,4.30159238985
R_2,4.89466340931
R_3,1.58336744755
R_4,3.98934029388
R_5,3.17863742177
R_6,1.29508963442
R_7,2.70055251219
R_8,4.54099548411
R_9,1.74423999144
