,logQ - logK
R_1,-4.15409456663
R_2,-4.03526708296
R_3,-1.95101398428
R_4,-3.91572908953
R_5,-3.92207334128
R_6,-4.04949120689
R_7,-2.31186908147
R_8,-4.70953020131
R_9,-1.22377543162
