,Normalized absolute activities
A,2.96875285221e-05
B,1.34343801421e-09
C,2.35569062536e-07
D,7.64129471482e-10
E,7.14131901423e-06
F,3.346932488e-16
A_ext,0.880764429892
D_ext,6.49981345665e-15
E_ext,0.119198503584
F_ext,1.61114267536e-17
