,Absolute activities
A,1.23266682812e-12
B,5.57813855912e-17
C,9.78114998364e-15
D,3.17277017916e-17
E,2.96517342334e-13
F,1.38969219038e-23
A_ext,3.65705449446e-08
D_ext,2.69881153326e-22
E_ext,4.94928505819e-09
F_ext,6.68968496248e-25
