	Forward likelihoods	Backward likelihoods	Delta G	log Q_r	log K_eq	Delta G0	logK - logQ	logQ - logK	Forward Log likelihoods	Backward Log likelihoods	Forward probabilities	Backward probabilities	Net probabilities	Net likelihoods	Forward rate	Backward rate	Thermodynamic driving force	Net flux	Forward Entropy Production	Backward Entropy Production	Reaction Entropy Production	Net Reaction Entropy Production	Microscopic Reaction Entropy Production Rate	Microscopic Reaction Entropy Production Net Flux	Microscopic Reaction Entropy Production Net Flux Difference	Total Entropy Production	Total Microscopic Entropy Production Rate	Macroscopic Reaction Entropy Production Net Flux	Macroscopic Reaction Entropy Production Net Flux Difference	Total Macroscopic Entropy Production Net Flux	Total Macroscopic Entropy Production Net Flux Difference
R_1	63.6	0.0157232704403	-10.2978184372	-4.15409456663	-0.0	0.0	4.15409456663	-4.15409456663	4.15261347035	-4.15261347035	0.17817065432	4.40475689055e-05	0.178126606751	63.5842767296	64.6	1.01572327044	10.2978184372	63.5842767296	0.307346776139	0.000441807705005	0.307788583844	0.306904968434	19.8550504929	19.5705144893	19.5143304426	1.8020355217	106.313617566	34.1617599365	34.0636865865	200.009708354	195.709075569
R_2	56.7	0.0176366843034	-10.0032503111	-3.2284758986	0.806791184361	-2.0	4.03526708296	-4.03526708296	4.03777421073	-4.03777421073	0.158840819181	4.94078550686e-05	0.158791411326	56.6823633157	57.7	1.0176366843	10.0032503111	56.6823633157	0.292243712497	0.00048989870232	0.292733611199	0.291753813794	16.8629607499	16.5928329047	16.5372956722	1.8020355217	106.313617566	32.4907936033	32.3820449184	200.009708354	195.709075569
R_3	7.05	0.141843971631	-4.83647819188	-1.14422279992	0.806791184361	-2.0	1.95101398428	-1.95101398428	1.95302761682	-1.95302761682	0.0197500489458	0.000397365302467	0.0193526836434	6.90815602837	8.05	1.14184397163	4.83647819188	6.90815602837	0.0775110284528	0.003111630411	0.0806226588638	0.0743993980418	0.627516775472	0.556953906853	0.51396265009	1.8020355217	106.313617566	8.94838880362	8.2576629178	200.009708354	195.709075569
R_4	50.4	0.0198412698413	-9.70692086239	-2.30214672081	1.61358236872	-4.0	3.91572908953	-3.91572908953	3.91999117508	-3.91999117508	0.141191839272	5.55838369522e-05	0.141136255435	50.3801587302	51.4	1.01984126984	9.70692086239	50.3801587302	0.276402192325	0.000544589207061	0.276946781532	0.275857603118	14.2076280801	13.9526228134	13.897749832	1.8020355217	106.313617566	30.738597734	30.6177087425	200.009708354	195.709075569
R_5	50.4	0.0198412698413	-9.72264798453	-3.92207334128	-0.0	0.0	3.92207334128	-3.92207334128	3.91999117508	-3.91999117508	0.141191839272	5.55838369522e-05	0.141136255435	50.3801587302	51.4	1.01984126984	9.72264798453	50.3801587302	0.276402192325	0.000544589207061	0.276946781532	0.275857603118	14.2076280801	13.9526228134	13.897749832	1.8020355217	106.313617566	30.738597734	30.6177087425	200.009708354	195.709075569
R_6	3.4	0.294117647059	-10.0385112911	-0.822326469446	3.22716473744	-8.0	4.04949120689	-4.04949120689	1.22377543162	-1.22377543162	0.00952484630012	0.000823948641879	0.00870089765824	3.10588235294	4.4	1.29411764706	10.0385112911	3.10588235294	0.0443272201894	0.00585119082816	0.0501784110175	0.0384760293612	0.20261189814	0.155848241278	0.119502020604	1.8020355217	106.313617566	5.56935156519	4.2704926282	200.009708354	195.709075569
R_7	10.1	0.0990099009901	-5.73102216852	-1.50507789711	0.806791184361	-2.0	2.31186908147	-2.31186908147	2.31253542385	-2.31253542385	0.0282943963621	0.000277368849741	0.0280170275124	10.000990099	11.1	1.09900990099	5.73102216852	10.000990099	0.100872112035	0.00227169591023	0.103143807945	0.0986004161244	1.12217705988	1.03154020203	0.986101785418	1.8020355217	106.313617566	11.4480334584	10.9437578978	200.009708354	195.709075569
R_8	111.0	0.00900900900901	-11.6747190416	-4.70953020131	-0.0	0.0	4.70953020131	-4.70953020131	4.70953020131	-4.70953020131	0.310958217445	2.5238066508e-05	0.310932979379	110.990990991	112.0	1.00900900901	11.6747190416	110.990990991	0.363229275372	0.000267199375715	0.363496474748	0.362962075996	40.6819484482	40.344833954	40.285520507	1.8020355217	106.313617566	40.344833954	40.285520507	200.009708354	195.709075569
R_9	3.4	0.294117647059	-3.03368568062	-1.22377543162	-0.0	0.0	1.22377543162	-1.22377543162	1.22377543162	-1.22377543162	0.00952484630012	0.000823948641879	0.00870089765824	3.10588235294	4.4	1.29411764706	3.03368568062	3.10588235294	0.0443272201894	0.00585119082816	0.0501784110175	0.0384760293612	0.20261189814	0.155848241278	0.119502020604	1.8020355217	106.313617566	5.56935156519	4.2704926282	200.009708354	195.709075569
