,Thermodynamic driving force
R_1,10.2978184372
R_2,10.0032503111
R_3,4.83647819188
R_4,9.70692086239
R_5,9.72264798453
R_6,10.0385112911
R_7,5.73102216852
R_8,11.6747190416
R_9,3.03368568062
