,Backward Log likelihoods
R_1,-4.15261347035
R_2,-4.03777421073
R_3,-1.95302761682
R_4,-3.91999117508
R_5,-3.91999117508
R_6,-1.22377543162
R_7,-2.31253542385
R_8,-4.70953020131
R_9,-1.22377543162
