,log Q_r
R_1,-4.15409456663
R_2,-3.2284758986
R_3,-1.14422279992
R_4,-2.30214672081
R_5,-3.92207334128
R_6,-0.822326469446
R_7,-1.50507789711
R_8,-4.70953020131
R_9,-1.22377543162
