	Forward likelihoods	Backward likelihoods	Delta G	log Q_r	log K_eq	Delta G0	logK - logQ	logQ - logK	Forward Log likelihoods	Backward Log likelihoods	Forward probabilities	Backward probabilities	Net probabilities	Net likelihoods	Forward rate	Backward rate	Thermodynamic driving force	Net flux	Forward Entropy Production	Backward Entropy Production	Reaction Entropy Production	Net Reaction Entropy Production	Microscopic Reaction Entropy Production Rate	Microscopic Reaction Entropy Production Net Flux	Microscopic Reaction Entropy Production Net Flux Difference	Total Entropy Production	Total Microscopic Entropy Production Rate	Macroscopic Reaction Entropy Production Net Flux	Macroscopic Reaction Entropy Production Net Flux Difference	Total Macroscopic Entropy Production Net Flux	Total Macroscopic Entropy Production Net Flux Difference
R_1	71.1014317708	0.0140644143879	-10.5263635903	-4.24628867401	-0.0	0.0	4.24628867401	-4.24628867401	4.26410747403	-4.26410747403	0.186778252489	3.69461862615e-05	0.186741306303	71.0873673564	72.1014317708	1.01406441439	10.5263635903	71.0873673564	0.313382749577	0.000377074555182	0.313759824132	0.313005675022	22.5957273147	22.3043598798	22.2507494049	1.87120505795	110.353983493	34.2781337292	34.1957432442	204.428394835	201.738649675
R_2	66.4716105821	0.015044016404	-10.3666213209	-3.37505816229	0.806791184361	-2.0	4.18184934665	-4.18184934665	4.19677494797	-4.19677494797	0.1746160514	3.95195289938e-05	0.174576531871	66.4565665657	67.4716105821	1.0150440164	10.3666213209	66.4565665657	0.304733944862	0.000400677265246	0.305134622127	0.304333267597	20.5612967639	20.2781993269	20.2249440562	1.87120505795	110.353983493	33.3358339029	33.2482862449	204.428394835	201.738649675
R_3	4.83778512812	0.206706162741	-3.90079413962	-0.766771977564	0.806791184361	-2.0	1.57356316192	-1.57356316192	1.57645699783	-1.57645699783	0.0127085071235	0.000543001946571	0.0121655051769	4.63107896538	5.83778512812	1.20670616274	3.90079413962	4.63107896538	0.0554787801592	0.00408250456078	0.0595612847199	0.0513962755984	0.328799581152	0.275833012818	0.238020210823	1.87120505795	110.353983493	6.50704623626	5.61502229616	204.428394835	201.738649675
R_4	47.6135922462	0.0210024060951	-9.5393788368	-2.23456100618	1.61358236872	-4.0	3.8481433749	-3.8481433749	3.86311827187	-3.86311827187	0.125077418738	5.51717822105e-05	0.125022246956	47.5925898401	48.6135922462	1.0210024061	9.5393788368	47.5925898401	0.260013737742	0.000540962575694	0.260554700318	0.259472775167	12.6407541491	12.4004729831	12.3489813632	1.87120505795	110.353983493	28.4654954979	28.3472956133	204.428394835	201.738649675
R_5	47.613306779	0.0210025320157	-9.53937565604	-3.8481420918	-0.0	0.0	3.8481420918	-3.8481420918	3.86311227635	-3.86311227635	0.125076668837	5.51721129948e-05	0.125021496724	47.592304247	48.613306779	1.02100253202	9.53937565604	47.592304247	0.26001292873	0.000540965488268	0.260553894218	0.259471963242	12.640640598	12.4003602064	12.3488686182	1.87120505795	110.353983493	28.4654074318	28.3472069108	204.428394835	201.738649675
R_6	9.53710168175	0.104853658205	-5.59057875723	0.971949909038	3.22716473744	-8.0	2.2552148284	-2.2552148284	2.25518963236	-2.25518963236	0.0250532674458	0.000275442878699	0.0247778245671	9.43224802354	10.5371016817	1.1048536582	5.59057875723	9.43224802354	0.0923651593852	0.00225784116352	0.0946230005487	0.0901073182217	0.975755660361	0.892507609907	0.849914574203	1.87120505795	110.353983493	10.3375244923	9.84418802668	204.428394835	201.738649675
R_7	14.1346181465	0.0707482854956	-6.55871197211	-1.83896431557	0.806791184361	-2.0	2.64575549993	-2.64575549993	2.64862697603	-2.64862697603	0.0371306063923	0.000185850563095	0.0369447558292	14.063869861	15.1346181465	1.0707482855	6.55871197211	14.063869861	0.122282733953	0.0015965618316	0.123879295785	0.120686172122	1.85241200014	1.74222229439	1.69731461874	1.87120505795	110.353983493	13.5337628995	13.1849154323	204.428394835	201.738649675
R_8	109.258747634	0.0091525852314	-11.5541681371	-4.66090049783	-0.0	0.0	4.66090049783	-4.66090049783	4.69371890065	-4.69371890065	0.287014725922	2.40431708997e-05	0.286990682751	109.249595049	110.258747634	1.00915258523	11.5541681371	109.249595049	0.358258024817	0.000255714980337	0.358513739797	0.358002309836	39.5013392017	39.1674808924	39.1116073763	1.87120505795	110.353983493	39.1674808924	39.1116073763	204.428394835	201.738649675
R_9	9.53734923638	0.104850936588	-5.59064698943	-2.25524235297	-0.0	0.0	2.25524235297	-2.25524235297	2.25521558903	-2.25521558903	0.0250539177536	0.000275435729211	0.0247784820244	9.43249829979	10.5373492364	1.10485093659	5.59064698943	9.43249829979	0.0923669065921	0.00225778970763	0.0946246962997	0.0901091168845	0.975796873718	0.892547286966	0.849954091809	1.87120505795	110.353983493	10.3377097524	9.84438452987	204.428394835	201.738649675
