,Backward likelihoods
R_1,0.0140644143879
R_2,0.015044016404
R_3,0.206706162741
R_4,0.0210024060951
R_5,0.0210025320157
R_6,0.104853658205
R_7,0.0707482854956
R_8,0.0091525852314
R_9,0.104850936588
