,Backward Log likelihoods
R_1,-4.26410747403
R_2,-4.19677494797
R_3,-1.57645699783
R_4,-3.86311827187
R_5,-3.86311227635
R_6,-2.25518963236
R_7,-2.64862697603
R_8,-4.69371890065
R_9,-2.25521558903
