,Forward rate
R_1,70.8640461247
R_2,66.2925140206
R_3,5.78166639527
R_4,47.4632712455
R_5,47.4632712455
R_6,10.5227365571
R_7,15.061375807
R_8,107.883112765
R_9,10.5227365571
