,Net flux
R_1,158.910220444
R_2,105.679498579
R_3,53.2926418901
R_4,104.575139333
R_5,104.623163176
R_6,0.637718289049
R_7,53.9047387492
R_8,263.102750833
R_9,0.668007646395
