,log Q_r
R_1,-5.026670481944482
R_2,-4.828397399838712
R_3,-2.1141285071298945
R_4,-3.3155180334537118
R_5,-4.814790700683394
R_6,2.6126301652763466
R_7,-2.483469462026468
R_8,-5.497806453688861
R_9,-0.5101014549085132
