,Concentrations
A,4.03756472492786e-05
B,3.229781556921568e-07
C,4.874893729943774e-06
D,4.068254087109643e-07
E,1.4110882487754205e-05
F,2.9176420649959583e-07
A_ext,0.0061542445550878
D_ext,1.6662534591091695e-09
E_ext,0.0017401681196320459
F_ext,1.7518534174422627e-07
