,Chemical potential
A,-25.0803031607876
B,-39.04968877985579
C,-32.32113510866081
D,-40.47754710266271
E,-29.6863814754717
F,-47.30164673230421
A_ext,-12.619407257647849
D_ext,-54.106368438993044
E_ext,-17.75072626749148
F_ext,-48.56616589115631
