,Entropy of Concentrations
A,0.0268156418181
B,0.000410543928586
C,0.0045332404259
D,0.00050532051375
E,0.0112366049281
F,0.00037459505925
A_ext,0.198557419618
D_ext,3.22123830893e-06
E_ext,0.332463052099
F_ext,0.000236153370865
