,logQ - logK
R_1,-5.026670481944482
R_2,-5.635188584199367
R_3,-2.92091969149055
R_4,-4.929100402175023
R_5,-4.814790700683394
R_6,-0.614534572166276
R_7,-3.290260646387124
R_8,-5.497806453688861
R_9,-0.5101014549085132
