,Forward likelihoods
R_1,158.916513056
R_2,105.688960305
R_3,53.3113996044
R_4,104.584700961
R_5,104.632720416
R_6,1.36846438177
R_7,53.923283614
R_8,263.106551574
R_9,1.38830859598
