,Backward probabilities
R_1,7.41661577197e-06
R_2,1.11518053896e-05
R_3,2.2108268136e-05
R_4,1.12695519166e-05
R_5,1.12643799423e-05
R_6,0.000861273945351
R_7,2.18573988482e-05
R_8,4.47964032102e-06
R_9,0.00084896306237
