,Normalized absolute activities
A,3.85248882589e-06
B,3.30304353453e-12
C,2.76113746226e-09
D,7.92142486474e-13
E,3.84899185833e-08
F,8.61260429637e-16
A_ext,0.994122075892
D_ext,9.54731839229e-19
E_ext,0.00587403036433
F_ext,2.43198449166e-16
