,Log Concentrations
A,-10.1172837456
B,-14.9456811454
C,-12.2314122527
D,-14.7148817148
E,-11.1685642506
F,-15.0473198729
A_ext,-5.09061326366
D_ext,-20.2126881685
E_ext,-6.35377354994
F_ext,-15.5574213278
