,Absolute activities
A,1.28163020102e-11
B,1.09884299227e-17
C,9.18563900047e-15
D,2.63526717418e-18
E,1.28046684418e-13
F,2.86520591611e-21
A_ext,3.30720459824e-06
D_ext,3.17616277252e-24
E_ext,1.95414835886e-08
F_ext,8.09062638151e-22
