,Forward probabilities
R_1,0.187302612419
R_2,0.124567409568
R_3,0.0628340266572
R_4,0.12326590442
R_5,0.12332250124
R_6,0.00161290320797
R_7,0.0635552070511
R_8,0.310103358719
R_9,0.00163629204965
