,Backward Log likelihoods
R_1,-5.068378989200885
R_2,-4.660500443762063
R_3,-3.97615018455833
R_4,-4.649997278609485
R_5,-4.650456317398173
R_6,-0.3136892219527468
R_7,-3.987562362634789
R_8,-5.572559089197431
R_9,-0.3280861687696274
