,Log Concentrations
A,-11.8686537561
B,-15.4767576313
C,-11.6078659896
D,-12.4981737238
E,-9.02045939252
F,-17.2695852449
A_ext,-0.999
D_ext,-0.99999999
E_ext,-0.999
F_ext,-0.99999999
