,Entropy
A,4.66091550425e-11
B,1.15553466848e-15
C,1.26421570692e-11
D,2.16092698981e-13
E,5.97624320215e-09
F,6.04242340027e-21
A_ext,0.123895003091
D_ext,0.0656505902189
E_ext,0.251388233015
F_ext,0.000398266542506
