,Absolute activities
A,1.66818051541e-13
B,2.94564424591e-18
C,4.30940593979e-14
D,6.41690798538e-16
E,2.63033806798e-11
F,1.1605707479e-23
A_ext,0.0840387536813
D_ext,0.00153541256114
E_ext,0.0113734085323
F_ext,3.80590722802e-06
