,Normalized absolute activities
A,1.72063616136e-12
B,3.03826951652e-17
C,4.44491445949e-13
D,6.61868654008e-15
E,2.7130485907e-10
F,1.19706469306e-22
A_ext,0.866813376634
D_ext,0.0158369334188
E_ext,0.11731043384
F_ext,3.92558331836e-05
